CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
VANDALISM,11/30/2017 05:30:00 AM,17-918862,VANDALISM,09X,4200 GILBERT ST,Oakland,CA,"4200 GILBERT ST
Oakland, CA
(37.82957, -122.253332)"
THEFT/LARCENY,10/16/2017 09:00:00 PM,17-054689,THEFT,19X,1800 INTERNATIONAL BLVD,Oakland,CA,"1800 INTERNATIONAL BLVD
Oakland, CA
(37.786924, -122.241826)"
THEFT/LARCENY,11/18/2017 06:00:00 AM,17-060409,BURGLARY-AUTO,35X,2200 98TH AV,Oakland,CA,"2200 98TH AV
Oakland, CA
(37.748485, -122.161704)"
THEFT/LARCENY,11/29/2017 11:15:00 PM,17-918834,BURGLARY-AUTO,17Y,700 E 24TH ST,Oakland,CA,"700 E 24TH ST
Oakland, CA
(37.800641, -122.242673)"
ASSAULT,12/09/2017 12:43:00 PM,17-064113,OBSTRUCTS/RESISTS PUBLIC OFFICER/ETC,34X,9500 OLIVE ST,Oakland,CA,"9500 OLIVE ST
Oakland, CA
(37.749348, -122.165458)"
THEFT/LARCENY,12/12/2017 09:10:00 PM,17-919650,BURGLARY-AUTO,,LA SALLE AVE,Oakland,CA,"LA SALLE AVE
Oakland, CA
"
THEFT/LARCENY,12/23/2017 09:30:00 AM,18-900119,BURGLARY-AUTO,,500 W 33RD / TELEGRAPH ST,Oakland,CA,"500 W 33RD / TELEGRAPH ST
Oakland, CA
"
THEFT/LARCENY,11/30/2017 08:45:00 PM,17-918851,BURGLARY-AUTO,,9TH AND WEBSTER ST,Oakland,CA,"9TH AND WEBSTER ST
Oakland, CA
"
ASSAULT,10/16/2017 06:53:00 AM,17-054205,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,15X,200 E 18TH ST,Oakland,CA,"200 E 18TH ST
Oakland, CA
(37.800206, -122.253258)"
THEFT/LARCENY,12/20/2017 03:30:00 PM,17-066343,THEFT,08X,3100 SUMMIT ST,Oakland,CA,"3100 SUMMIT ST
Oakland, CA
(37.820481, -122.264281)"
THEFT/LARCENY,12/13/2017 01:10:00 PM,17-919674,THEFT,09X,5200 BROADWAY,Oakland,CA,"5200 BROADWAY
Oakland, CA
(37.836272, -122.251155)"
ASSAULT,12/29/2017 05:00:00 PM,18-000409,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,34X,1600 85TH AV,Oakland,CA,"1600 85TH AV
Oakland, CA
(37.754709, -122.17504)"
ASSAULT,12/05/2017 06:30:00 PM,17-063452,THREAT CRIME:INT:TERRORIZE,06X,600 31ST ST,Oakland,CA,"600 31ST ST
Oakland, CA
(37.820542, -122.270432)"
MOTOR VEHICLE THEFT,11/16/2017 11:00:00 PM,17-060321,VEHICLE THEFT - AUTO,27Y,1400 55TH AV,Oakland,CA,"1400 55TH AV
Oakland, CA
(37.767077, -122.203683)"
ASSAULT,12/20/2017 04:25:00 PM,17-066124,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,06X,2300 SAN PABLO AV,Oakland,CA,"2300 SAN PABLO AV
Oakland, CA
(37.813591, -122.274188)"
BURGLARY,12/20/2017 01:00:00 AM,17-066334,BURGLARY-FORCIBLE ENTRY,03X,600 OAK ST,Oakland,CA,"600 OAK ST
Oakland, CA
(37.795564, -122.266309)"
VANDALISM,12/20/2017 08:15:00 PM,17-919696,VANDALISM,14X,500 BELLEVUE AVE,Oakland,CA,"500 BELLEVUE AVE
Oakland, CA
(37.807743, -122.253989)"
THEFT/LARCENY,12/19/2017 03:50:00 PM,18-900116,GRAND THEFT,02Y,1400 5TH ST,Oakland,CA,"1400 5TH ST
Oakland, CA
(37.803813, -122.294086)"
THEFT/LARCENY,12/17/2017 12:00:00 PM,18-900156,BURGLARY-AUTO,14Y,3300 GRAND AVE,Oakland,CA,"3300 GRAND AVE
Oakland, CA
(37.812869, -122.247077)"
ASSAULT,11/02/2017 08:00:00 PM,17-057710,BATTERY,05X,800 19TH ST,Oakland,CA,"800 19TH ST
Oakland, CA
(37.810915, -122.277477)"
ASSAULT,11/24/2017 02:57:00 PM,17-061361,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,18X,1900 22ND AV,Oakland,CA,"1900 22ND AV
Oakland, CA
(37.788083, -122.234548)"
ASSAULT,10/28/2017 01:31:00 PM,17-056633,ASLT W/FIREARM ON PERSON,35X,3100 98TH AV,Oakland,CA,"3100 98TH AV
Oakland, CA
(37.752812, -122.153141)"
THEFT/LARCENY,12/22/2017 04:45:00 PM,18-900133,BURGLARY-AUTO,04X,2000 BROADWAY,Oakland,CA,"2000 BROADWAY
Oakland, CA
(37.80952, -122.267863)"
ASSAULT,11/25/2017 09:55:00 AM,17-061498,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,04X,1400 JEFFERSON ST,Oakland,CA,"1400 JEFFERSON ST
Oakland, CA
(37.805744, -122.274769)"
THEFT/LARCENY,12/23/2017 12:30:00 AM,18-900131,THEFT,23X,1800 34TH AVE,Oakland,CA,"1800 34TH AVE
Oakland, CA
(37.781533, -122.221411)"
ASSAULT,01/03/2018 05:30:00 PM,18-000504,BATTERY,30Y,8100 MACARTHUR BLVD,Oakland,CA,"8100 MACARTHUR BLVD
Oakland, CA
(37.763311, -122.165428)"
THEFT/LARCENY,11/29/2017 12:30:00 AM,17-918786,BURGLARY-AUTO,24Y,3100 HIGH ST,Oakland,CA,"3100 HIGH ST
Oakland, CA
(37.784722, -122.199895)"
THEFT/LARCENY,11/28/2017 05:30:00 PM,17-918789,THEFT,05Y,2200 MANDELA PARKWAY,Oakland,CA,"2200 MANDELA PARKWAY
Oakland, CA
(37.817387, -122.289082)"
ASSAULT,11/10/2017 11:20:00 PM,17-059080,BATTERY,34X,1400 86TH AV,Oakland,CA,"1400 86TH AV
Oakland, CA
(37.75296, -122.17656)"
VANDALISM,11/30/2017 11:45:00 AM,17-919667,VANDALISM,,500 W MARKET ST,Oakland,CA,"500 W MARKET ST
Oakland, CA
(37.801837, -122.283077)"
ASSAULT,11/18/2017 02:37:00 PM,17-060364,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,30X,1700 69TH AV,Oakland,CA,"1700 69TH AV
Oakland, CA
(37.762917, -122.1868)"
THEFT/LARCENY,12/30/2017 03:00:00 PM,18-000444,PETTY THEFT:$50-,17Y,500 EL EMBARCADERO,Oakland,CA,"500 EL EMBARCADERO
Oakland, CA
(37.809307, -122.249653)"
THEFT/LARCENY,11/29/2017 02:10:00 PM,17-918828,BURGLARY-AUTO,,12500 CAMPUS DRIVE,Oakland,CA,"12500 CAMPUS DRIVE
Oakland, CA
(37.791326, -122.167691)"
ROBBERY,12/05/2017 10:30:00 AM,17-063345,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",03X,700 WEBSTER ST,Oakland,CA,"700 WEBSTER ST
Oakland, CA
(37.798567, -122.271819)"
ASSAULT,01/03/2018 01:30:00 AM,18-000375,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,20X,1500 27TH AV,Oakland,CA,"1500 27TH AV
Oakland, CA
(37.781654, -122.230624)"
ROBBERY,10/16/2017 03:15:00 AM,17-054191,ROBBERY-KNIFE OR CUTTING INSTRUMENT,27X,4400 INTERNATIONAL BLVD,Oakland,CA,"4400 INTERNATIONAL BLVD
Oakland, CA
(37.771875, -122.213758)"
ASSAULT,11/22/2017 04:37:00 PM,17-061068,ASSAULT WITH FIREARM ON PERSON,30X,7400 LOCKWOOD ST,Oakland,CA,"7400 LOCKWOOD ST
Oakland, CA
(37.762252, -122.180482)"
THEFT/LARCENY,10/28/2017 03:18:00 PM,17-056644,POSS STOLEN VEH/VES/ETC,31Y,00 HEGENBERGER RD,Oakland,CA,"00 HEGENBERGER RD
Oakland, CA
"
ASSAULT,11/11/2017 11:41:00 AM,17-059151,BATTERY,31Z,10700 PIPPIN ST,Oakland,CA,"10700 PIPPIN ST
Oakland, CA
(37.733804, -122.174578)"
ROBBERY,10/29/2017 11:18:00 PM,17-056846,ATTEMPTED ROBBERY-FIREARM,30Y,7200 BANCROFT AV,Oakland,CA,"7200 BANCROFT AV
Oakland, CA
(37.766093, -122.177258)"
THEFT/LARCENY,12/08/2017 05:45:00 PM,17-919666,BURGLARY-AUTO,01X,100 MARTIN LUTHER KING JR W,Oakland,CA,"100 MARTIN LUTHER KING JR W
Oakland, CA
"
DRUGS/ALCOHOL VIOLATIONS,11/25/2017 10:34:00 AM,17-061502,POSSESS CONTROLLED SUBSTANCE,10Y,600 46TH ST,Oakland,CA,"600 46TH ST
Oakland, CA
(37.834209, -122.266853)"
ASSAULT,10/30/2017 05:30:00 PM,17-057029,THREAT CRIME:INT:TERRORIZE,30X,6800 ARTHUR ST,Oakland,CA,"6800 ARTHUR ST
Oakland, CA
(37.766394, -122.183098)"
ROBBERY,12/30/2017 06:30:00 PM,18-000053,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",02X,900 8TH ST,Oakland,CA,"900 8TH ST
Oakland, CA
(37.803809, -122.283345)"
MOTOR VEHICLE THEFT,10/28/2017 06:30:00 PM,17-056802,VEHICLE THEFT - AUTO,17Y,2200 9TH AV,Oakland,CA,"2200 9TH AV
Oakland, CA
(37.798102, -122.243157)"
ASSAULT,10/18/2017 06:04:00 PM,17-054792,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,20X,1500 27TH AV,Oakland,CA,"1500 27TH AV
Oakland, CA
(37.781654, -122.230624)"
ASSAULT,11/24/2017 10:20:00 PM,17-061427,BATTERY W/SERIOUS BODILY INJURY,28X,2700 RAWSON ST,Oakland,CA,"2700 RAWSON ST
Oakland, CA
(37.777451, -122.196855)"
VANDALISM,12/22/2017 10:30:00 PM,18-900095,VANDALISM,14X,500 BELLEVUE AVE,Oakland,CA,"500 BELLEVUE AVE
Oakland, CA
(37.807743, -122.253989)"
ASSAULT,01/01/2018 06:39:00 PM,18-000118,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,31X,00 SWAN WY,Oakland,CA,"00 SWAN WY
Oakland, CA
"
ASSAULT,12/06/2017 03:26:00 PM,17-063577,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,23X,3300 SAN LEANDRO ST,Oakland,CA,"3300 SAN LEANDRO ST
Oakland, CA
(37.774825, -122.225927)"
MOTOR VEHICLE THEFT,11/19/2017 04:30:00 PM,17-060724,VEHICLE THEFT - AUTO,33X,1000 88TH AV,Oakland,CA,"1000 88TH AV
Oakland, CA
(37.748173, -122.181955)"
MOTOR VEHICLE THEFT,11/29/2017 07:20:00 PM,17-918795,ATTEMPT VEHICLE THEFT-AUTO,,1000 COTTON ST ST,Oakland,CA,"1000 COTTON ST ST
Oakland, CA
(37.779832, -122.239186)"
THEFT/LARCENY,12/12/2017 11:00:00 PM,17-919665,BURGLARY-AUTO,30Y,7600 SUNKIST DRIVE,Oakland,CA,"7600 SUNKIST DRIVE
Oakland, CA
(37.770691, -122.16521)"
BURGLARY,10/28/2017 03:00:00 PM,17-056803,BURGLARY-FORCIBLE ENTRY,05X,1400 LINDEN ST,Oakland,CA,"1400 LINDEN ST
Oakland, CA
(37.809444, -122.283838)"
ROBBERY,10/18/2017 10:30:00 AM,17-054697,ATTEMPTED ROBBERY-STRONG-ARM,10X,6300 SAN PABLO AV,Oakland,CA,"6300 SAN PABLO AV
Oakland, CA
(37.846196, -122.284694)"
VANDALISM,11/27/2017 11:00:00 PM,17-918804,VANDALISM,,MARTIN LUTHER KING JR/ADELINE,Oakland,CA,"MARTIN LUTHER KING JR/ADELINE
Oakland, CA
"
ROBBERY,12/11/2017 08:03:00 PM,17-066481,CARJACKING WITH FIREARM,19X,300 E 12TH ST,Oakland,CA,"300 E 12TH ST
Oakland, CA
(37.796574, -122.256491)"
DRUGS/ALCOHOL VIOLATIONS,11/11/2017 03:19:00 AM,17-059109,POSSESS NARCOTIC CONTROLLED SUBSTANCE,08X,3600 WEBSTER ST,Oakland,CA,"3600 WEBSTER ST
Oakland, CA
(37.823687, -122.262027)"
ROBBERY,10/26/2017 01:00:00 AM,17-056161,ROBBERY-FIREARM,34X,9600 INTERNATIONAL BLVD,Oakland,CA,"9600 INTERNATIONAL BLVD
Oakland, CA
(37.745801, -122.171498)"
MOTOR VEHICLE THEFT,11/11/2017 02:30:00 AM,17-059399,VEHICLE THEFT - AUTO,99X,98TH AVE,Oakland,CA,"98TH AVE
Oakland, CA
"
ASSAULT,12/06/2017 03:10:00 PM,17-063567,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,10Y,4500 MARKET ST,Oakland,CA,"4500 MARKET ST
Oakland, CA
(37.834625, -122.27297)"
ROBBERY,12/21/2017 01:00:00 PM,17-066332,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",34X,1700 84TH AV,Oakland,CA,"1700 84TH AV
Oakland, CA
(37.756024, -122.174434)"
THEFT/LARCENY,12/12/2017 07:45:00 PM,17-919675,BURGLARY-AUTO,03X,1100 OAK ST,Oakland,CA,"1100 OAK ST
Oakland, CA
(37.798972, -122.264184)"
